nombre,precio,ventas_q,clases_q,nivel,duracion,tema,plataforma,anio,mes,ventas_usd,idioma
The Complete Financial Analyst Course 2017,195,24481,174,All Levels,10,Business Finance,udemy,2016,Enero,4773795,English
Python for Finance: Investment Fundamentals & Data Analytics,195,3811,103,All Levels,6,Business Finance,udemy,2017,Marzo,743145,English
Financial Modeling for Startups & Small Businesses,195,4991,79,Introductory,11,Business Finance,udemy,2017,Marzo,973245,English
Options Trading - How to Win with Weekly Options,115,7489,25,Intermediate,1,Business Finance,udemy,2015,Octubre,861235,English
Black Algo Trading: Build Your Trading Robot,200,20195,227,All Levels,16,Business Finance,udemy,2014,Octubre,4039000,English
Accounting & Financial Statement Analysis: Complete Training,150,10042,43,All Levels,3,Business Finance,udemy,2015,Octubre,1506300,English
Cryptocurrency Trading: Complete Guide To Trading Altcoins,95,367,35,All Levels,5,Business Finance,udemy,2017,Junio,34865,English
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,200,10603,42,All Levels,5,Business Finance,udemy,2014,Octubre,2120600,English
Three Steps Trading - Live Trading - Real Account,190,1197,46,All Levels,5,Business Finance,udemy,2017,Mayo,227430,English
Option Trading for Rookies:  Understand Options Completely,150,2893,62,All Levels,2,Business Finance,udemy,2016,Agosto,433950,English
How I Learned Stock Trading (and How You Can Too),200,1580,53,Advanced,2,Business Finance,udemy,2017,Mayo,316000,English
Learn to Trade for Profit: Find and Trade Winning Stocks,95,10605,77,All Levels,3,Business Finance,udemy,2014,Octubre,1007475,English
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,125,2996,23,Intermediate,2,Business Finance,udemy,2015,Marzo,374500,English
Four Fundamentals of Financial Planning,30,6219,20,All Levels,1,Business Finance,udemy,2017,Febrero,186570,English
Options Trading - Calendar Spread Course for Every Trader,200,1113,17,All Levels,1,Business Finance,udemy,2017,Abril,222600,English
Dividend Investing: Build Your Portfolio for a Better Future,60,8314,47,Introductory,4,Business Finance,udemy,2015,Enero,498840,English
Learn Accounting. Understand Business.,200,5572,33,Introductory,5,Business Finance,udemy,2014,Marzo,1114400,English
How to Consistently Win Trading Stocks in 30 Days or Less,145,1433,15,Intermediate,1,Business Finance,udemy,2016,Mayo,207785,English
A Beginner's Guide to Quantopian Futures API,20,936,11,Intermediate,1,Business Finance,udemy,2017,Abril,18720,English
How to Buy Cheap Options - Options Trading Pricing Model,200,658,19,All Levels,1,Business Finance,udemy,2017,Junio,131600,English
Excel Crash Course: Master Excel for Financial Analysis,105,8121,40,All Levels,3,Business Finance,udemy,2016,Octubre,852705,English
"Comprehensive Guide to Financial Markets, Investing &Trading",60,4187,79,Introductory,9,Business Finance,udemy,2016,Febrero,251220,English
Stock Trading Ninja: Complete System For Trading Success,155,9445,38,All Levels,4,Business Finance,udemy,2014,Febrero,1463975,English
Hedge and Mutual Fund Careers: The Complete Guide,200,3255,102,All Levels,8,Business Finance,udemy,2016,Junio,651000,English
Algorithmic Trading In Forex: Create Your First Forex Robot!,185,7941,40,All Levels,6,Business Finance,udemy,2014,Agosto,1469085,English
The Power Modeling Bootcamp: Advanced Excel in 10 Days,150,1680,76,All Levels,5,Business Finance,udemy,2016,Noviembre,252000,English
Options Trading Basics (3-Course Bundle),180,10100,45,Introductory,11,Business Finance,udemy,2013,Febrero,1818000,English
How to Win 97% of Your Options Trades,125,5050,26,All Levels,1,Business Finance,udemy,2015,Febrero,631250,English
How I Make Consistent Returns Trading Options,200,2310,26,All Levels,3,Business Finance,udemy,2016,Octubre,462000,English
"Forex Strategies: Kelly Criterion, Larry Williams and more!",185,5528,32,All Levels,3,Business Finance,udemy,2015,Febrero,1022680,English
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",125,6451,28,All Levels,5,Business Finance,udemy,2014,Abril,806375,English
Options Trading Introduction: Day Trade Stock Options,95,12394,30,Introductory,2,Business Finance,udemy,2015,Febrero,1177430,English
The Almost Perfect Options Trading Strategy System - Unique,200,1793,15,All Levels,1,Business Finance,udemy,2017,Marzo,358600,English
Forex Trading -  Learn to Trade Forex Like the Banks,20,3223,23,All Levels,1,Business Finance,udemy,2016,Marzo,64460,English
Learn to Trade for Profit:Trading with Japanese Candlesticks,60,16385,45,Introductory,3,Business Finance,udemy,2014,Septiembre,983100,English
The Most Powerful Options Spread Trading Front Ratio Spread,200,1487,18,All Levels,2,Business Finance,udemy,2017,Marzo,297400,English
What Finance Job is for You? Explanation of 14 Finance Roles,200,2951,60,All Levels,4,Business Finance,udemy,2016,Mayo,590200,English
The Blueprint for Successful Stock Trading,120,2697,15,All Levels,1,Business Finance,udemy,2015,Agosto,323640,English
Trading for Beginners - Intermediate Level,150,3979,39,Introductory,5,Business Finance,udemy,2016,Noviembre,596850,English
Start Trading Stocks Using Technical Analysis!,25,3190,45,All Levels,4,Business Finance,udemy,2016,Febrero,79750,English
Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,200,1406,54,Advanced,1,Business Finance,udemy,2017,Enero,281200,English
VPS for Forex Trading - Protect Your Forex Robots,160,4252,24,All Levels,2,Business Finance,udemy,2014,Septiembre,680320,English
Introduction to Accounting: The Language of Business,20,11958,134,Introductory,11,Business Finance,udemy,2014,Octubre,239160,English
Basic Excel for Basic Bookkeeping and Accounting,95,7743,33,Introductory,1,Business Finance,udemy,2015,Septiembre,735585,English
"Using 'The Greeks To Understand Options""",50,2134,5,All Levels,1,Business Finance,udemy,2016,Julio,106700,English
Trading Options For Consistent Returns: Calendar Spreads,200,1214,20,All Levels,1,Business Finance,udemy,2016,Octubre,242800,English
