nombre,ventas_q,formato,institucion,nivel,tema,idioma,precio,duracion,plataforma,ventas_usd
Introducción al Office 365,16470,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Computer Science,Español,75,14,edx,1235250
Creative Thinking: Techniques and Tools for Success,54787,Self-paced on your time,Imperial College London,Introductory,Humanities,English,49,14,edx,2684563
Upper-Intermediate English: Business and Technology,47451,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Language,English,50,12,edx,2372550
Shakespeare's Hamlet: The Ghost,38331,Self-paced on your time,Harvard University,Introductory,Humanities,English,49,20,edx,1878219
FlashDiet: Aprende a comer sano,48105,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Food & Nutrition,Español,50,10,edx,2405250
CS50's Understanding Technology,50030,Self-paced on your time,Harvard University,Introductory,Computer Science,English,90,12,edx,4502700
Introduction to Aerospace Structures and Materials,37126,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,50,32,edx,1856300
Visualizing Data with Python,42101,Self-paced on your time,IBM,Intermediate,Data Analysis & Statistics,English,39,10,edx,1641939
Success: Practical Thinking Skills,24414,Self-paced on your time,The Hong Kong Polytechnic University,Introductory,Philosophy & Ethics,English,50,16,edx,1220700
English for Doing Business in Asia – Speaking,68422,Self-paced on your time,The Hong Kong University of Science and Technology,Introductory,Humanities,English,60,21,edx,4105320
Nutrition and Health: Macronutrients and Overnutrition,208582,Self-paced on your time,Wageningen University & Research,Introductory,Biology & Life Sciences,English,99,54,edx,20649618
"Contemporary China: The People's Republic, Taiwan, and Hong Kong",66771,Self-paced on your time,Harvard University,Introductory,History,English,139,15,edx,9281169
Introduction to Clinical Psychology,57234,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,99,7,edx,5666166
Modern Masterpieces of World Literature,48049,Self-paced on your time,Harvard University,Introductory,Literature,English,99,24,edx,4756851
"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",24259,Self-paced on your time,Harvard University,Introductory,Social Sciences,English,49,8,edx,1188691
Applied Scrum for Agile Project Management,55293,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",Advanced,Engineering,English,199,8,edx,11003307
Corporate Finance,62798,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,150,15,edx,9419700
Judaism Through Its Scriptures,50540,Self-paced on your time,Harvard University,Introductory,Humanities,English,99,20,edx,5003460
Excel avanzado: importación y análisis de datos,47184,Self-paced on your time,Universitat Politècnica de Valencia,Advanced,Data Analysis & Statistics,Español,75,24,edx,3538800
CSS Basics,95163,Self-paced on your time,The World Wide Web Consortium (W3C),Introductory,Computer Science,English,199,25,edx,18937437
Unlocking Information Security: Part I,19905,Self-paced on your time,IsraelX-Tel Aviv University,Intermediate,Computer Science,English,149,24,edx,2965845
Becoming an Effective Leader,55937,Self-paced on your time,The University of Queensland,Intermediate,Communication,English,99,80,edx,5537763
Digital Branding and Engagement,122977,Self-paced on your time,Curtin University,Intermediate,Communication,English,99,12,edx,12174723
Introduction to Cybersecurity,73021,Self-paced on your time,University of Washington,Introductory,Computer Science,English,199,12,edx,14531179
General Academic English|生活英语进阶,17526,Self-paced on your time,Tsinghua University,Introductory,Language,English,49,24,edx,858774
Gestión de personas: Recursos Humanos,19687,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Business & Management,Español,119,25,edx,2342753
From Poverty to Prosperity: Understanding Economic Development,91062,Self-paced on your time,University of Oxford,Intermediate,Social Sciences,English,149,12,edx,13568238
Medical Terminology,31354,Self-paced on your time,Doane University,Introductory,Biology & Life Sciences,English,79,40,edx,2476966
Ancient Masterpieces of World Literature,48899,Self-paced on your time,Harvard University,Introductory,Literature,English,99,18,edx,4841001
Shakespeare's The Merchant of Venice: Shylock,23283,Self-paced on your time,Harvard University,Introductory,Humanities,English,49,20,edx,1140867
Gestión del estrés y Mindfulness,15965,Self-paced on your time,Universidades Anáhuac,Introductory,Health & Safety,Español,49,16,edx,782285
Behavioural Economics in Action,66764,Self-paced on your time,University of Toronto,Introductory,Business & Management,English,139,24,edx,9280196
Finance for Everyone: Smart Tools for Decision-Making,45029,Self-paced on your time,The University of Michigan,Introductory,Business & Management,English,49,30,edx,2206421
Creating Innovative Business Models,12227,Self-paced on your time,"University System of Maryland-The University of Maryland, College Park",Introductory,Business & Management,English,149,8,edx,1821823
u.lab: Leading From the Emerging Future,79424,Self-paced on your time,Massachusetts Institute of Technology,Introductory,Business & Management,English,99,56,edx,7862976
Electric Cars: Introduction,56171,Self-paced on your time,Delft University of Technology,Intermediate,Engineering,English,50,16,edx,2808550
Inteligencia Artificial para todos: Domina los fundamentos,11764,Self-paced on your time,IBM,Introductory,Computer Science,Español,49,4,edx,576436
Marketing Analytics,55228,Instructor-led on a course schedule,Columbia University,Advanced,Business & Management,English,249,96,edx,13751772
Introducción a la Regulación Emocional basada en Mindfulness,20634,Self-paced on your time,Universidad Autónoma de Madrid,Introductory,Health & Safety,Español,49,20,edx,1011066
Design Thinking Fundamentals,56446,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,299,48,edx,16877354
Basic Spanish 3: Getting there,17569,Self-paced on your time,Universitat Politècnica de Valencia,Introductory,Language,English,50,12,edx,878450
Mi propia huerta orgánica,11346,Self-paced on your time,Universidad Nacional de Córdoba,Introductory,Biology & Life Sciences,Español,29,4,edx,329034
Sustainability in Architecture: An Interdisciplinary Introduction,31352,Self-paced on your time,Universitat Politècnica de Valencia,Intermediate,Architecture,English,50,12,edx,1567600
Gestión de riesgos en proyectos de desarrollo,47676,Self-paced on your time,Inter-American Development Bank,Intermediate,Business & Management,Español,25,20,edx,1191900
Python Data Structures,36369,Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,49,14,edx,1782081
The Science and Business of Biotechnology,17039,Self-paced on your time,Massachusetts Institute of Technology,Intermediate,Business & Management,English,49,160,edx,834911
Finance Essentials,63666,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,79,12,edx,5029614
Introduction to the Internet of Things (IoT),89421,Self-paced on your time,Curtin University,Introductory,Computer Science,English,149,12,edx,13323729
'Talk to me': Improving mental health and suicide prevention in young adults,11481,Self-paced on your time,Curtin University,Introductory,Health & Safety,English,139,12,edx,1595859
Disaster Medicine Training,10937,Self-paced on your time,Stanford University,Introductory,Medicine,English,50,8,edx,546850
Nutrition and Health: Human Microbiome,44079,Self-paced on your time,Wageningen University & Research,Introductory,Health & Safety,English,49,18,edx,2159871
Customer Relationship Management,53085,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,50,18,edx,2654250
Islam Through Its Scriptures,65430,Self-paced on your time,Harvard University,Introductory,Humanities,English,99,20,edx,6477570
Mechatronics Revolution: Fundamentals and Core Concepts,11619,Self-paced on your time,The Georgia Institute of Technology,Introductory,Engineering,English,149,96,edx,1731231
Accounting for Decision-Making,57710,Self-paced on your time,Indian Institute of Management Bangalore,Intermediate,Business & Management,English,150,21,edx,8656500
C Programming: Language Foundations,46400,Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Introductory,Computer Science,English,49,14,edx,2273600
Big Data sin misterios,65564,Self-paced on your time,Inter-American Development Bank,Intermediate,Data Analysis & Statistics,Español,25,40,edx,1639100
Becoming a Successful Leader (Inclusive Leadership Training),215705,Self-paced on your time,Catalyst,Introductory,Communication,English,49,4,edx,10569545
"English for Journalists, Part 1",50847,Self-paced on your time,"University of California, Berkeley",Intermediate,Communication,English,139,15,edx,7067733
Introduction to Networking,16134,Self-paced on your time,New York University,Introductory,Computer Science,English,150,21,edx,2420100
Accounting Essentials,58463,Self-paced on your time,Imperial College Business School-Imperial College London,Introductory,Business & Management,English,79,18,edx,4618577
Introduction to Java Programming: Starting to code in Java,325554,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Computer Science,English,149,35,edx,48507546
European Paintings: From Leonardo to Rembrandt to Goya,60734,Self-paced on your time,Universidad Carlos III de Madrid,Introductory,Humanities,English,99,14,edx,6012666
Java Programming Fundamentals,12042,Self-paced on your time,Universidad Galileo,Intermediate,Engineering,English,49,40,edx,590058
"Hollywood: History, Industry, Art",50033,Self-paced on your time,University of Pennsylvania,Introductory,Communication,English,169,12,edx,8455577
Data Science Tools,15627,Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,39,21,edx,609453
Statistical Thinking for Data Science and Analytics,198861,Self-paced on your time,Columbia University,Introductory,Computer Science,English,99,35,edx,19687239
Philosophy and Critical Thinking,97175,Self-paced on your time,The University of Queensland,Introductory,Humanities,English,99,6,edx,9620325
International Law,91868,Self-paced on your time,Université catholique de Louvain,Advanced,Law,English,150,72,edx,13780200
Tourism and Travel Management,38503,Self-paced on your time,The University of Queensland,Introductory,Business & Management,English,5,14,edx,192515
Project Management Life Cycle,120019,Self-paced on your time,Rochester Institute of Technology,Intermediate,Business & Management,English,150,80,edx,18002850
Solar Energy,125069,Self-paced on your time,Delft University of Technology,Introductory,Engineering,English,50,48,edx,6253450
Public Speaking,10129,Self-paced on your time,Rochester Institute of Technology,Introductory,Communication,English,199,12,edx,2015671
Japanese Pronunciation for Communication,62757,Self-paced on your time,Waseda University,Introductory,Communication,日本語,99,15,edx,6212943
Mindfulness and Resilience to Stress at Work,33414,Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,199,4,edx,6649386
Framing Your Communication to Inspire and Convince,49351,Self-paced on your time,Delft University of Technology,Intermediate,Business & Management,English,125,20,edx,6168875
